"ACRONIMO";"Columna1";"Observaciones";
"COMIN";"Comando de Infanteria de Marina";"A partir de agosto 2018 FUSNA + UNAPO (UNAP?)";
"COMINT";"INTeligencia de COMunicaciones";"Denominación Internacional";
"CONAE";"Consejo Nacional de Educación";;
"CONBE";"Jefe del Control Puerto Bella Unión - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CONBU";"Control Puerto Buceo - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"CONCA";"Control Puerto Carmelo - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
"CONCO";"Control Puerto Colonia - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CONDOROP";"Cóndor Operativo";;
"CONFA";"CONfluencia FrenteAmplista";;
"CONEN";"Control Puerto Belén - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CONFI    ";"Control Puerto Fray Bentos - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CONIN";"COmunidad Naval de INteligencia";;
"CONLA";"Control Puerto La Paloma - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CONMO";"Control del Puerto de Montevideo";;"DND_(CD 3er Informe)_ ARMADA NACIONAL COMANDO GENERAL DE LA ARMADA QUINTA DIVISION DEL ESTADO MAYOR GENRAL Guía Telefónica edición 2006"
"CONMO";"Control Puerto Montevideo - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"CONNU";"Control Puerto Nueva Palmira - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"CONPA";"Control Puerto Paysandú - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2008"
"CONPE";"Control Puerto Punta del Este – Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2009"
"CONPI";"Control Puerto Piriápolis – Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2010"
"CONRE";"Comandante del Control Regional SAR en el mar.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2011"
"CONSA";"Control Puerto Salto - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2012"
"CONVA";"Control Puerto Santiago Vázquez - Prefectura";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2013"
"COVINE";"COoperativa de Vivienda Nueva Esperanza";;
"CORCO";;;"C/S® Nro 15/982dossier Nro 6877 Operación Lagarto año 82"
"CORIN";"COoRdinador INformático";;
"CORIN";"Coordinador de Informática de la Prefectura Nacional Naval.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"COSENA";"COnsejo de SEguridad NAcional";;
"COT";"Centro de Operaciones Tácticas (Argentina)";;
"COT";"Congreso Obrero Textil";;"Dossier 12230"
"COTEC";"COmisión TÉCnica de la DIRME";;
"COTEC";"Comisión Técnica del Departamento Registral y de Marina Mercante";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"COVINE 6";"Cooperativa de Vivienda … 6";;
"CP";"Cuerpo de Prefectura";;
"CPFU";"Cabo de 1ra Fusileros";;
"CPM";"[Codigo de Proceso Militar]";;"FAN BERVEJILLO BESIO Hugo Alberto"
"CRAF";;"Origen de la información 19/04/1975; Integrante del CRAF del Círculo N°  44.  - Esposo de Graciela LOPATER (NG = MONICA)";
"CRAF";"Comité de Resistencia AntiFascista";;
"CRD";"Centro de Reunión de Detenidos (Argentina)";;
"CRDI";;;
"CS(ESP)";"Cabo de 2da ESPecialista";;
"CSFU";"Cabo de 2da Fusileros";;
"CSP";;;
"CSS";;;
"CT";"Contra Terrorista";;
"CTU";"Central de Trabajadores del Uruguay";;
"CUGAR";"CUartel General de la ARmada";;
